No1,Name1,No2,Name2,distance
1 AG,A/SWINE/NORTH_CAROLINA/A01841602/2015 MDCK2,23 AG,A/SWINE/MANITOBA/D0333/2014 MDCK2,6.046415229354225
1 AG,A/SWINE/NORTH_CAROLINA/A01841602/2015 MDCK2,24 AG,A/SWINE/MANITOBA/D0392/2014 MDCK2,12.477373689315733
1 AG,A/SWINE/NORTH_CAROLINA/A01841602/2015 MDCK2,25 AG,A/SWINE/SASKATCHEWAN/SD0102/2015 MDCK2,12.024099817378085
1 AG,A/SWINE/NORTH_CAROLINA/A01841602/2015 MDCK2,26 AG,A/SWINE/MANITOBA/SD0114/2015 MDCK2,10.745480018243317
1 AG,A/SWINE/NORTH_CAROLINA/A01841602/2015 MDCK2,27 AG,A/SWINE/ALBERTA/SD0191/2016 MDCK2,10.067727937388556
1 AG,A/SWINE/NORTH_CAROLINA/A01841602/2015 MDCK2,28 AG,A/SWINE/SASKATCHEWAN/SD0200/2016 MDCK2,9.466896501689801
1 AG,A/SWINE/NORTH_CAROLINA/A01841602/2015 MDCK2,29 AG,A/SWINE/MANITOBA/D0348/2014 MDCK2,9.763706831546461
1 AG,A/SWINE/NORTH_CAROLINA/A01841602/2015 MDCK2,30 AG,A/MINNESOTA/45/2016 MDCK3,12.047844537693743
1 AG,A/SWINE/NORTH_CAROLINA/A01841602/2015 MDCK2,31 AG,A/SWINE/MINNESOTA/A01781045/2016 MDCK2,11.075569324759325
1 AG,A/SWINE/NORTH_CAROLINA/A01841602/2015 MDCK2,32 AG,A/SINGAPORE/1986 MDCK2,6.998697844850595
1 AG,A/SWINE/NORTH_CAROLINA/A01841602/2015 MDCK2,33 AG,A/TAIWAN/1/1986 MDCK2,8.977437204288728
1 AG,A/SWINE/NORTH_CAROLINA/A01841602/2015 MDCK2,34 AG,A/TEXAS/36/1991 MDCK2,8.228518366263016
1 AG,A/SWINE/NORTH_CAROLINA/A01841602/2015 MDCK2,35 AG,A/BEIJING/262/1995 MDCK2,8.184933818937138
1 AG,A/SWINE/NORTH_CAROLINA/A01841602/2015 MDCK2,36 AG,A/MICHIGAN/2/2003 MDCK2,7.300981624757822
1 AG,A/SWINE/NORTH_CAROLINA/A01841602/2015 MDCK2,37 AG,A/BRISBANE/59/2007 MDCK3,4.6187967705166955
1 AG,A/SWINE/NORTH_CAROLINA/A01841602/2015 MDCK2,38 AG,A/SWINE/NORTH_CAROLINA/A01730369/2016 MDCK3,6.354624552056973
1 AG,A/SWINE/NORTH_CAROLINA/A01841602/2015 MDCK2,39 AG,A/SOLOMON_ISLANDS/3/2006 E2/M1,5.452958002032283
1 AG,A/SWINE/NORTH_CAROLINA/A01841602/2015 MDCK2,40 AG,A/SWINE/MINNESOTA/A01134353/2011 MDCK3,5.993699546452446
1 AG,A/SWINE/NORTH_CAROLINA/A01841602/2015 MDCK2,41 AG,A/SWINE/NEBRASKA/A01492366/2014 MDCK3,7.523351806927168
1 AG,A/SWINE/NORTH_CAROLINA/A01841602/2015 MDCK2,42 AG,A/SWINE/ILLINOIS/A01644323/2018 MDCK3,6.892535615195284
1 AG,A/SWINE/NORTH_CAROLINA/A01841602/2015 MDCK2,43 AG,A/SWINE/OKLAHOMA/A01409770/2014 MDCK3,9.838190044642753
1 AG,A/SWINE/NORTH_CAROLINA/A01841602/2015 MDCK2,44 AG,A/SWINE/ILLINOIS/A02139356/2018 MDCK3,11.365531487258906
1 AG,A/SWINE/NORTH_CAROLINA/A01841602/2015 MDCK2,45 AG,A/SWINE/MICHIGAN/A01104117/2018 MDCK2,8.787894690762945
2 AG,A/SWINE/OHIO/A01847657/2015 MDCK2,3 AG,A/OHIO/9/2015 MDCK2,1.902046718769448
